My father, Mon père
My mother, Ma mère
My parents, Mes parents
Your (singular informal) brother, Ton frère
Your (singular informal) sister, Ta sœur
Your (singular informal) parents, Tes parents
His/Her/Its brother, Son frère
His/Her/Its sister, Sa sœur
His/Her/Its parents, Ses parents
Our uncle, Notre oncle
Our aunt, Notre tante
Our cousins, Nos cousins
Your (plural/formal) uncle, Votre oncle
Your (plural/formal) aunt, Votre tante
Your (plural/formal) cousins, Vos cousins
Their grandfather Leur grand-père
Their grandmother Leur grand-mère
Their grandparents Leurs grands-parents
